oee1;oee2;oee3;availability;performance;quality;capacity_utilization;oae;theoretical_run_rate;actual_run_rate;line_name;line_category;batch_number;order_number;start;stop;material_number;material_name;material_category_name;runrate_per_minute;planned_quantity;max_operating_time_min;actual_operating_time_min;actual_runtime_min;actual_runtime_total_product_min;actual_runtime_no_product_min;theoretical_runtime_min;theoretical_runtime_good_product_min;speed_losses_min;scrap_losses_min;total_quantity;good_quantity;rejects;target_quantity;tpm_min;planned_downtime_min;changeover_time_min;operational_downtime_min;planned_maintenance_min;cleaning_min;organizational_downtime_min;unplanned_downtime_min;equipment_breakdown_min;availability_of_materials_min;availability_of_operators_min;itot_fault_min;non_technical_breakdown_min;adjustment_min;non_commercial_and_strategic_activities_min;projects_min;test_and_validation_min;not_scheduled_time_min;unscheduled_time_min;uptime_min;line_status_duration_min;alarm_duration_min;alarm_count;line_status_count;upd_ts;site_oid;line_oid
0,448912999060139;0,448912999060139;NULL;0,483850639253076;0,95522190924415;0,971284788410217;1;0,462184731416326;200;191,04438184883;Abfüllanlage 4-E2G;NULL;88316599;NULL;2025-07-10 02:35:56.5350036;2025-07-11 02:14:44.8340148;07250924001;NULL;NULL;200;NULL;1418,804983;1418,804983;686,489698;686,489698;0;655,75;636,92;30,739698;18,83;131150;127384;0;137297,9396;745,83485;17,220133;NULL;NULL;NULL;NULL;NULL;715,095152;715,095152;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;686,489698;1418,804983;0;0;901;2025-07-12 03:20:44.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,431931746577006;0,431931746577006;NULL;0,659753996909135;0,674915409125951;0,970026841634357;1;0,44527813874641;200;134,98308182519;Abfüllanlage 4-E2G;NULL;87415699;NULL;2025-09-02 11:04:41.6800079;2025-09-02 12:19:59.7550048;09782494001;NULL;NULL;200;NULL;75,301249;75,301249;49,6803;49,6803;0;33,53;32,525;16,1503;1,005;6706;6505;0;9936,06;41,758666;0,012583;NULL;NULL;NULL;NULL;NULL;25,608366;25,608366;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;49,6803;75,301249;0;0;135;2025-09-24 17:32:22.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,47921512536148;0,47921512536148;NULL;0,64597892870286;0,756514578167061;0,980606717226436;1;0,488692476752454;200;151,302915633412;Abfüllanlage 4-E2G;NULL;89927199;NULL;2025-10-15 02:54:11.9860076;2025-10-15 04:28:38.1260070;07233299001;NULL;NULL;200;NULL;94,435667;94,435667;61,003451;61,003451;0;46,15;45,255;14,853451;0,895;9230;9051;0;12200,6902;46,824167;1,4615;NULL;NULL;NULL;NULL;NULL;31,970716;31,970716;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;61,003451;94,435667;0;0;87;2025-10-15 16:49:45.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,0136767476103819;0,0136767481823079;NULL;0,099182621690103;0,138514632080584;0,995523724261415;0,999999958182606;0,0137382443521924;200;27,7029264161168;Abfüllanlage 4-E2G;NULL;08102025;NULL;2025-10-08 10:16:54.2370147;2025-10-08 17:03:26.0010070;08102025111;NULL;NULL;200;NULL;406,5294;406,529383;40,32065;40,32065;0;5,585;5,56;34,73565;0,025;1117;1112;0;8064,13;400,944383;NULL;NULL;NULL;NULL;NULL;NULL;366,208733;366,208733;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1,7E-05;NULL;40,32065;406,5294;0;0;110;2025-10-09 03:20:31.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,611542110375869;0,611542110375869;NULL;0,637254396678126;0,97150857364066;0,987795149968092;1;0,619098109963005;200;194,301714728132;Abfüllanlage 4-E2G;NULL;85995999;NULL;2025-03-26 23:38:11.6940002;2025-03-27 03:00:40.9800109;06369782001;NULL;NULL;200;NULL;202,4881;202,4881;129,036432;129,036432;0;125,36;123,83;3,676432;1,53;25072;24766;0;25807,2864;77,1281;NULL;NULL;NULL;NULL;NULL;NULL;73,451668;73,451668;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;129,036432;202,4881;0;0;198;2025-04-10 07:47:21.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Abfüllanlage 4-E2G;NULL;52415298;NULL;2026-01-27 16:00:49.1370086;2026-01-27 16:28:12.1870117;11448822365;NULL;NULL;200;NULL;27,384167;NULL;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;27,384167;NULL;27,384167;0;0;0;2026-03-03 15:12:32.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,226186131602061;0,226186131602061;NULL;0,347836824474977;0,668931128054827;0,972095671981777;1;0,232678879375055;200;133,786225610965;Abfüllanlage 4-E2G;NULL;86051699;NULL;2025-02-17 13:18:48.3370056;2025-02-17 14:34:16.4660034;07233361001;NULL;NULL;200;NULL;75,468818;75,468818;26,250834;26,250834;0;17,56;17,07;8,690834;0,49;3512;3414;0;5250,1668;57,908818;NULL;NULL;NULL;NULL;NULL;NULL;49,217984;49,217984;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;26,250834;75,468818;0;0;48;2025-04-10 07:47:21.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,645087695193901;0,645087695193901;NULL;0,717652407798568;0,909565797784864;0,988258345219058;1;0,652752084831534;200;181,913159556973;Abfüllanlage 4-E2G;NULL;86005099;NULL;2025-02-25 18:02:52.2980041;2025-02-26 02:54:33.0770111;04989538001;NULL;NULL;200;NULL;531,67965;531,67965;381,561181;381,561181;0;347,055;342,98;34,506181;4,075;69411;68596;0;76312,2362;184,62465;NULL;NULL;NULL;NULL;NULL;NULL;150,118469;150,118469;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;381,561181;531,67965;0;0;466;2025-04-10 07:47:21.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,206373140499558;0,462121113259453;NULL;0,584242127319672;0,812253035619841;0,97380410022779;0,446578038912695;0,474552441452397;200;162,450607123968;Abfüllanlage 4-E2G;NULL;93818599;NULL;2026-02-03 10:15:40.7400054;2026-02-04 01:06:25.1950073;07234562001;NULL;NULL;200;NULL;890,740915;397,785331;232,402948;232,402948;0;188,77;183,825;43,632948;4,945;37754;36765;0;46480,5896;201,045415;7,969916;NULL;NULL;NULL;NULL;NULL;157,412467;157,412467;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;492,955584;232,402948;890,740915;0;0;201;2026-02-05 07:56:29.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
0,00908910370979958;0,00908910370979958;NULL;0,112035178866519;0,146207315376044;0,554878048780488;1;0,0163803627297487;200;29,2414630752088;Abfüllanlage 4-E2G;NULL;85931899;NULL;2025-03-27 22:47:30.8470001;2025-03-28 00:27:38.0400085;08331421001;NULL;NULL;200;NULL;100,119883;100,119883;11,216949;11,216949;0;1,64;0,91;9,576949;0,73;328;182;0;2243,3898;98,479883;NULL;NULL;NULL;NULL;NULL;NULL;88,902934;88,902934;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11,216949;100,119883;0;0;58;2025-04-10 07:47:21.000;F07AFA54-6864-41C7-8CF0-F4F92F7B7C4F;C8EB00B5-3D04-47E8-9B32-96D06816C51C
